robot_name,tiramisu
time_ms,left,center,right
384,618,87,163
394,618,87,163
404,618,87,163
415,618,87,163
427,618,87,163
440,618,87,163
452,618,87,156
462,618,87,156
475,618,87,156
486,618,87,156
497,618,87,156
510,618,87,156
521,618,87,156
532,618,87,153
543,618,87,153
555,618,87,153
567,618,87,153
579,618,87,153
591,618,87,153
603,618,87,153
614,618,87,153
625,616,95,153
637,616,95,153
647,616,95,153
659,616,95,153
670,616,95,153
682,616,95,153
692,616,95,153
705,616,95,153
715,554,93,149
726,554,93,149
738,554,93,149
749,554,93,149
759,554,93,149
771,554,93,149
782,554,93,149
794,554,93,149
804,554,93,149
815,554,93,149
826,355,87,153
837,355,87,153
848,355,87,153
859,355,87,153
872,355,87,153
883,355,87,153
894,93,52,126
907,93,52,126
918,93,52,126
930,93,52,126
941,93,52,126
952,93,52,126
964,93,52,126
975,93,52,126
987,93,52,126
999,93,52,126
1011,93,52,126
1022,44,23,116
1033,44,23,116
1044,44,23,116
1054,44,23,116
1065,44,23,116
1076,44,23,116
1088,44,23,116
1100,44,23,116
1112,73,43,143
1122,73,43,143
1135,73,43,143
1146,73,43,143
1156,73,43,143
1167,73,43,143
1178,73,43,143
1189,73,43,143
1200,73,43,143
1212,73,43,143
1223,62,41,161
1236,62,41,161
1248,62,41,161
1260,62,41,161
1271,62,41,161
1281,69,48,190
1292,69,48,190
1305,69,48,190
1317,69,48,190
1329,69,48,190
1340,69,48,190
1350,69,48,190
1362,69,48,190
1374,69,48,190
1385,69,48,190
1396,69,48,190
1408,62,53,294
1419,62,53,294
1431,62,53,294
1442,62,53,294
1454,62,53,294
1464,31,62,703
1476,31,62,703
1487,31,62,703
1499,31,62,703
1512,31,62,703
1524,31,62,703
1534,31,62,703
1546,31,62,703
1557,31,62,703
1569,31,62,703
1581,154,210,787
1592,154,210,787
1604,154,210,787
1615,154,210,787
1625,154,210,787
1638,154,210,787
1651,154,210,787
1661,154,210,787
1671,127,538,769
1682,127,538,769
1693,127,538,769
1706,127,538,769
1716,127,538,769
1729,127,538,769
1739,127,538,769
1750,127,538,769
1760,127,538,769
1773,211,739,715
1783,211,739,715
1797,211,739,715
1809,211,739,715
1819,211,739,715
1830,211,739,715
1841,211,739,715
1853,211,739,715
1865,211,739,715
1875,211,739,715
1885,756,719,505
1897,756,719,505
1909,756,719,505
1921,756,719,505
1933,756,719,505
1944,707,633,552
1955,707,633,552
1965,707,633,552
1975,707,633,552
1987,707,633,552
1999,707,633,552
2011,707,633,552
2021,707,633,552
2032,622,463,611
2044,622,463,611
2055,622,463,611
2065,622,463,611
2077,622,463,611
2088,622,463,611
2098,622,463,611
2109,622,463,611
2120,622,463,611
2131,622,463,611
2144,622,463,611
2156,478,588,590
2167,478,588,590
2177,478,588,590
2188,478,588,590
2200,478,588,590
2211,478,588,590
2221,478,588,590
2234,478,588,590
2244,443,547,631
2256,443,547,631
2269,443,547,631
2281,443,547,631
2293,443,547,631
2306,443,547,631
2318,443,547,631
2329,443,547,631
2342,519,587,638
2354,519,587,638
2364,519,587,638
2375,519,587,638
2386,519,587,638
2399,519,587,638
2410,519,587,638
2421,484,482,691
2434,484,482,691
2444,484,482,691
2457,484,482,691
2469,484,482,691
2480,484,482,691
2493,484,482,691
2504,484,482,691
2515,464,640,737
2528,464,640,737
2538,464,640,737
2549,464,640,737
2562,464,640,737
2572,464,640,737
2584,464,640,737
2596,464,640,737
2607,465,696,722
2619,465,696,722
2630,465,696,722
2641,465,696,722
2652,465,696,722
2664,465,696,722
2680,465,696,722
2690,668,655,656
2701,668,655,656
2712,668,655,656
2725,668,655,656
2738,668,655,656
2749,668,655,656
2762,668,655,656
2772,668,655,656
2784,668,655,656
2796,668,655,656
2807,668,655,656
2819,580,605,658
2830,580,605,658
2841,580,605,658
2852,580,605,658
2863,580,605,658
2874,580,605,658
2886,580,605,658
2897,580,605,658
2908,615,619,582
2920,615,619,582
2931,615,619,582
2942,615,619,582
2953,615,619,582
2966,615,619,582
2977,615,619,582
2990,615,619,582
3002,615,619,582
3015,615,619,582
3026,639,495,582
3037,639,495,582
3049,639,495,582
3060,639,495,582
3071,639,495,582
3081,473,499,0
3093,473,499,0
3104,473,499,0
3115,473,499,0
3128,473,499,0
3139,473,499,0
3151,473,499,0
3163,473,499,0
3173,438,0,0
