robot_name,brownie
time_ms,left,center,right
358,526,0,43
369,526,0,43
381,526,0,43
392,526,0,43
403,526,0,43
416,526,0,43
426,526,0,43
437,526,0,43
449,526,0,43
461,526,0,43
472,526,0,43
484,526,0,43
496,526,0,43
507,513,0,39
519,513,0,39
530,513,0,39
542,511,0,66
554,511,0,66
564,511,0,66
576,511,0,66
588,511,0,66
600,511,0,66
610,511,0,66
622,511,0,66
633,511,0,66
646,511,0,66
656,492,0,64
668,492,0,64
680,492,0,64
690,492,0,64
705,492,0,64
716,515,0,75
728,515,0,75
740,515,0,75
753,515,0,75
763,515,0,75
776,515,0,75
787,515,0,75
798,515,0,75
809,515,0,75
821,515,0,75
833,515,0,75
845,414,0,57
856,414,0,57
867,414,0,57
879,414,0,57
891,414,0,57
903,414,0,57
913,414,0,57
924,70,0,55
937,70,0,55
948,70,0,55
959,70,0,55
972,70,0,55
984,70,0,55
995,70,0,55
1007,70,0,55
1020,0,0,32
1030,0,0,32
1042,0,0,32
1053,0,0,32
1064,0,0,32
1076,0,0,32
1089,0,0,32
1100,0,0,32
1110,0,0,39
1121,0,0,39
1133,0,0,39
1143,0,0,39
1155,0,0,39
1167,0,0,39
1178,0,0,39
1188,0,0,39
1200,0,0,37
1210,0,0,37
1221,0,0,37
1233,0,0,37
1245,0,0,37
1255,0,0,37
1267,0,0,37
1279,0,0,37
1291,0,0,35
1302,0,0,35
1313,0,0,35
1325,0,0,35
1336,0,0,35
1347,0,0,35
1359,0,0,35
1372,0,0,35
1384,0,0,48
1396,0,0,48
1409,0,0,48
1420,0,0,48
1431,0,0,48
1443,0,0,48
1454,0,0,48
1465,0,0,103
1476,0,0,103
1486,0,0,103
1499,0,0,103
1509,0,0,103
1520,0,0,103
1531,0,0,103
1542,0,0,103
1552,0,0,103
1565,0,0,103
1576,0,0,103
1587,0,24,627
1600,0,24,627
1611,0,24,627
1622,0,24,627
1635,0,24,627
1646,0,24,627
1658,0,24,627
1670,0,24,627
1681,0,24,627
1693,0,24,627
1705,0,61,734
1715,0,61,734
1727,0,61,734
1738,0,61,734
1749,0,61,734
1761,0,61,734
1774,0,61,734
1785,0,61,734
1796,0,597,749
1809,0,597,749
1819,0,597,749
1831,0,597,749
1843,0,597,749
1853,8,714,727
1866,8,714,727
1876,8,714,727
1887,8,714,727
1899,8,714,727
1909,8,714,727
1920,8,714,727
1932,8,714,727
1944,692,716,600
1955,692,716,600
1968,692,716,600
1980,692,716,600
1992,692,716,600
2004,692,716,600
2015,692,716,600
2026,692,716,600
2038,692,716,600
2050,692,716,600
2062,692,716,600
2075,730,689,489
2086,730,689,489
2098,730,689,489
2109,730,689,489
2120,730,689,489
2132,730,689,489
2142,730,689,489
2154,717,509,777
2166,717,509,777
2178,717,509,777
2190,717,509,777
2201,717,509,777
2212,717,509,777
2223,717,509,777
2235,717,509,777
2245,490,731,775
2255,490,731,775
2268,490,731,775
