robot_name,biscuit
time_ms,left,center,right
372,634,470,202
383,634,470,202
396,634,470,202
408,634,470,202
420,634,470,202
430,634,470,202
442,634,470,202
454,634,470,202
465,634,470,202
476,634,470,202
489,634,470,202
499,630,427,207
511,630,427,207
523,630,427,207
534,630,427,207
545,630,427,207
557,612,301,194
567,612,301,194
579,612,301,194
591,612,301,194
602,612,301,194
612,612,301,194
624,612,301,194
635,612,301,194
646,612,301,194
658,612,301,194
668,612,301,194
679,612,190,189
691,612,190,189
702,612,190,189
714,612,190,189
724,612,190,189
735,612,190,189
747,612,190,189
757,612,190,189
768,608,139,213
780,608,139,213
792,608,139,213
803,608,139,213
813,608,139,213
825,558,114,204
836,558,114,204
849,558,114,204
859,558,114,204
870,558,114,204
883,558,114,204
894,558,114,204
905,558,114,204
917,504,100,187
928,504,100,187
940,504,100,187
952,504,100,187
963,504,100,187
975,504,100,187
988,504,100,187
1000,504,100,187
1011,504,100,187
1023,504,100,187
1035,234,76,180
1048,234,76,180
1059,234,76,180
1070,234,76,180
1082,234,76,180
1093,234,76,180
1105,234,76,180
1118,234,76,180
1128,0,66,171
1141,0,66,171
1153,0,66,171
1165,0,66,171
1178,0,66,171
1188,0,66,171
1200,0,66,171
1210,0,59,182
1222,0,59,182
1233,0,59,182
1245,0,59,182
1256,0,59,182
1267,0,59,182
1279,0,59,182
1291,0,59,182
1301,0,45,191
1313,0,45,191
1324,0,45,191
1336,0,45,191
1346,0,45,191
1357,0,45,191
1369,0,45,191
1380,0,45,191
1392,0,45,191
1403,0,45,191
1416,0,45,191
1427,0,45,214
1439,0,45,214
1452,0,45,214
1462,0,45,214
1474,0,45,214
1485,0,91,642
1496,0,91,642
1510,0,91,642
1521,0,91,642
1532,0,91,642
1544,0,91,642
1555,0,91,642
1566,0,91,642
1576,0,91,642
1587,0,91,642
1597,0,91,642
1609,0,112,748
1620,0,112,748
1631,0,112,748
1644,0,112,748
1655,0,112,748
1666,0,112,748
1678,0,112,748
1689,0,112,748
1700,0,112,748
1713,0,112,748
1725,0,112,748
1736,0,112,748
1748,0,112,748
1760,0,473,566
1771,0,473,566
1782,0,597,533
1793,0,597,533
1805,0,597,533
1816,0,597,533
1828,0,597,533
1840,0,597,533
1851,0,597,533
1862,0,597,533
1873,588,543,0
1884,588,543,0
1894,588,543,0
1905,588,543,0
1917,588,543,0
1928,588,543,0
1941,588,543,0
1953,588,543,0
1964,528,466,550
1976,528,466,550
1988,528,466,550
2000,528,466,550
2012,528,466,550
2024,528,466,550
2034,528,466,550
2045,528,466,550
2056,372,0,615
2068,372,0,615
2080,372,0,615
2091,372,0,615
2104,372,0,615
2114,372,0,615
2125,372,0,615
2137,372,0,615
2148,372,0,615
2159,372,0,615
2170,372,0,615
2181,372,0,615
2193,372,0,615
2205,372,0,615
2217,372,0,615
2228,372,0,615
2240,0,526,646
2251,0,526,646
2262,388,545,240
2274,388,545,240
2286,388,545,240
2298,388,545,240
2309,388,545,240
2321,388,545,240
2333,388,545,240
2343,388,545,240
2355,450,475,599
2368,450,475,599
2379,450,475,599
2391,450,475,599
2403,450,475,599
2414,450,475,599
2424,450,475,599
2437,450,475,599
2448,452,258,639
2459,452,258,639
2473,452,258,639
2484,452,258,639
2495,452,258,639
2508,452,258,639
2520,452,258,639
2530,0,553,617
2542,0,553,617
2553,0,553,617
2564,0,553,617
2575,0,553,617
2586,0,553,617
2599,0,553,617
2611,0,553,617
2622,0,553,617
2635,0,553,617
2646,0,553,617
2656,430,550,684
2669,430,550,684
2681,430,550,684
2693,430,550,684
2705,430,550,684
2716,422,614,639
2727,422,614,639
2740,422,614,639
2750,422,614,639
2763,422,614,639
2775,422,614,639
2787,422,614,639
2799,422,614,639
2810,422,614,639
2822,422,614,639
2833,422,614,639
2845,422,614,639
2855,422,614,639
2867,542,609,617
2878,542,609,617
2889,542,609,617
2900,542,609,617
2911,542,609,617
2921,470,533,604
2934,470,533,604
2945,470,533,604
2956,470,533,604
2967,470,533,604
2978,470,533,604
2989,470,533,604
2999,470,533,604
3010,466,574,599
3020,466,574,599
3033,466,574,599
3046,466,574,599
3056,466,574,599
3069,466,574,599
3079,466,574,599
3092,466,574,599
3104,464,553,628
3116,464,553,628
3128,464,553,628
3139,464,553,628
3152,464,553,628
3165,464,553,628
3177,464,553,628
3188,464,553,628
3202,474,504,0
3215,474,504,0
3226,474,504,0
3237,474,504,0
3248,474,504,0
3260,474,504,0
3270,474,504,0
3281,396,0,0
3292,396,0,0
3304,396,0,0
3315,396,0,0
3325,396,0,0
3335,396,0,0
3347,396,0,0
3358,396,0,0
3371,396,0,0
3381,396,0,0
3393,396,0,0
3404,0,85,571
3415,0,85,571
3426,0,85,571
3436,0,85,571
3449,0,85,571
3463,0,85,571
3473,0,85,571
3484,0,85,571
3496,36,555,429
3508,36,555,429
3520,36,555,429
3531,36,555,429
3541,36,555,429
3554,36,555,429
3566,36,555,429
3578,36,555,429
3588,528,207,34
3600,528,207,34
3613,528,207,34
3625,528,207,34
3636,528,207,34
3648,528,207,34
3660,528,207,34
3672,528,207,34
3683,528,207,34
3695,528,207,34
3706,0,0,36
3719,0,0,36
3729,0,0,36
3741,0,0,36
3751,0,0,36
3762,0,0,29
3773,0,0,29
3786,0,0,29
3796,0,0,29
3807,0,0,29
3820,0,0,29
3831,0,0,29
3843,0,0,29
3854,0,0,684
3866,0,0,684
3877,0,0,684
3890,0,0,684
3900,0,0,684
3912,0,0,684
3924,0,0,684
3935,0,0,684
3945,0,0,684
3958,0,0,684
3969,0,0,684
3980,36,678,686
3991,36,678,686
4002,36,678,686
4013,36,678,686
4024,36,678,686
4036,36,678,686
4049,36,678,686
4060,656,647,666
4071,656,647,666
4082,656,647,666
4093,656,647,666
4105,656,647,666
4116,656,647,666
4127,656,647,666
4140,656,647,666
4151,656,647,666
4162,656,647,666
4174,656,647,666
4186,556,570,734
4198,556,570,734
4209,556,570,734
4220,556,570,734
4231,556,570,734
4242,594,684,502
4254,594,684,502
4265,594,684,502
4276,594,684,502
4289,594,684,502
4301,594,684,502
4313,594,684,502
4324,594,684,502
4337,628,562,701
4347,628,562,701
4358,628,562,701
4371,628,562,701
4382,628,562,701
4393,628,562,701
4403,628,562,701
4414,628,562,701
4425,628,562,701
4437,628,562,701
4449,628,562,701
4460,358,567,657
4471,358,567,657
4482,358,567,657
4493,358,567,657
4505,358,567,657
4517,492,621,690
4528,492,621,690
4541,492,621,690
4552,492,621,690
4563,492,621,690
4575,492,621,690
4586,492,621,690
4597,492,621,690
4609,492,621,690
4620,492,621,690
4631,626,676,750
4642,626,676,750
4654,626,676,750
4665,626,676,750
4677,626,676,750
4687,626,676,750
4699,626,676,750
4709,626,676,750
4720,626,676,750
4731,626,676,750
4741,626,676,750
4752,660,759,779
4764,660,759,779
4775,660,759,779
4786,660,759,779
4797,660,759,779
4810,660,759,779
4820,660,759,779
4832,660,759,779
4843,734,759,790
4854,734,759,790
4866,734,759,790
4878,734,759,790
4889,734,759,790
4900,728,788,779
4913,728,788,779
4924,728,788,779
4935,728,788,779
4948,728,788,779
4961,728,788,779
4972,728,788,779
4982,728,788,779
4993,740,747,794
