robot_name,doughnut
time_ms,left,center,right
380,690,203,148
390,690,203,148
401,690,203,148
413,690,203,148
424,690,203,148
435,690,203,148
447,690,203,148
458,690,203,148
469,682,214,207
481,682,214,207
492,682,214,207
502,682,214,207
515,682,214,207
526,682,214,207
537,652,201,150
549,652,201,150
559,652,201,150
571,652,201,150
583,652,201,150
594,652,201,150
605,652,201,150
618,652,201,150
630,576,201,143
643,576,201,143
656,576,201,143
667,576,201,143
679,576,201,143
689,576,201,143
701,576,201,143
712,435,201,148
724,435,201,148
735,435,201,148
747,435,201,148
757,435,201,148
770,435,201,148
783,435,201,148
793,435,201,148
805,435,201,148
818,435,201,148
829,435,201,148
842,323,212,168
858,323,212,168
868,323,212,168
881,323,212,168
893,298,211,175
905,298,211,175
918,298,211,175
928,298,211,175
940,298,211,175
952,298,211,175
963,298,211,175
974,298,211,175
985,298,211,175
996,298,211,175
1008,298,211,175
1019,283,201,171
1030,283,201,171
1042,283,201,171
1052,283,201,171
1063,283,201,171
1076,283,201,171
1086,283,201,171
1096,283,201,171
1106,286,214,322
1117,286,214,322
1128,286,214,322
1141,286,214,322
1152,286,214,322
1164,286,214,322
1177,286,214,322
1188,286,214,322
1199,285,233,716
1211,285,233,716
1222,285,233,716
1233,285,233,716
1244,285,233,716
1254,285,233,716
1267,285,233,716
1277,285,233,716
1288,274,225,748
1301,274,225,748
1312,274,225,748
1324,274,225,748
1335,274,225,748
1348,274,225,748
1360,274,225,748
1371,286,451,753
1382,286,451,753
1395,286,451,753
1405,286,451,753
1418,286,451,753
1428,286,451,753
1440,286,451,753
1450,286,451,753
1461,338,771,742
1471,338,771,742
1483,338,771,742
1494,338,771,742
1504,338,771,742
1516,338,771,742
1527,338,771,742
1539,338,771,742
1550,338,771,742
1561,338,771,742
1573,338,771,742
1585,475,766,554
1597,475,766,554
1609,475,766,554
1620,475,766,554
1631,475,766,554
1644,475,766,554
1655,475,766,554
1668,475,766,554
1680,803,751,308
1692,803,751,308
1704,803,751,308
1714,803,751,308
1726,803,751,308
1738,803,751,308
1749,803,751,308
1760,789,625,767
1773,789,625,767
1784,789,625,767
1797,789,625,767
1809,789,625,767
1820,789,625,767
1833,789,625,767
1845,789,625,767
1858,744,428,750
1870,744,428,750
1881,744,428,750
1893,744,428,750
1905,744,428,750
1917,744,428,750
1929,744,428,750
1940,414,781,744
1951,414,781,744
1963,414,781,744
1973,414,781,744
1985,414,781,744
1996,414,781,744
2008,414,781,744
2019,414,781,744
2030,775,755,258
2042,775,755,258
2054,775,755,258
2067,775,755,258
2077,775,755,258
2088,775,755,258
2100,775,755,258
2111,775,755,258
2123,775,755,258
2136,775,755,258
2147,775,755,258
2159,775,755,258
2172,775,755,258
2182,775,755,258
2193,775,755,258
2206,775,755,258
2218,775,755,258
2228,775,755,258
2240,775,755,258
2251,775,755,258
2264,775,755,258
2274,689,269,725
2285,689,269,725
2298,689,269,725
2308,689,269,725
2320,689,269,725
2331,328,620,746
2343,328,620,746
2355,328,620,746
2366,328,620,746
2377,328,620,746
2389,328,620,746
2401,328,620,746
2413,328,620,746
2424,533,749,595
2437,533,749,595
2448,533,749,595
2458,533,749,595
2469,533,749,595
2480,533,749,595
2491,533,749,595
2502,533,749,595
2514,750,675,159
2525,750,675,159
2536,750,675,159
2547,750,675,159
2559,750,675,159
2570,750,675,159
2581,750,675,159
2594,750,675,159
2606,750,675,159
2616,750,675,159
2629,662,203,656
2639,662,203,656
2650,662,203,656
2663,662,203,656
2674,662,203,656
2686,662,203,656
2699,230,628,725
2709,230,628,725
2719,230,628,725
2731,230,628,725
2741,230,628,725
2755,230,628,725
2766,230,628,725
2777,230,628,725
2790,230,628,725
2801,230,628,725
2812,682,763,734
2823,682,763,734
2834,682,763,734
2845,682,763,734
2856,682,763,734
2869,682,763,734
2880,682,763,734
2892,682,763,734
2903,762,755,737
2913,762,755,737
2925,762,755,737
2937,762,755,737
2948,762,755,737
2959,762,755,737
2969,762,755,737
2980,762,755,737
2991,762,755,737
3002,762,755,737
3013,762,755,737
3025,778,792,808
3036,778,792,808
3048,778,792,808
3059,778,792,808
3070,778,792,808
3081,783,796,730
3093,783,796,730
3105,783,796,730
3117,783,796,730
3130,783,796,730
3140,783,796,730
3151,783,796,730
3164,783,796,730
3174,790,711,404
3186,790,711,404
3198,790,711,404
3209,790,711,404
3220,790,711,404
3231,790,711,404
3242,790,711,404
3253,790,711,404
3266,790,711,404
3277,790,711,404
3288,790,711,404
3298,707,433,670
3309,707,433,670
3321,707,433,670
3331,707,433,670
3344,707,433,670
3355,707,433,670
3366,707,433,670
3376,707,433,670
3388,390,703,684
3398,390,703,684
3410,390,703,684
3423,390,703,684
3434,390,703,684
3445,390,703,684
3456,390,703,684
3467,390,703,684
3478,735,702,281
3490,735,702,281
3501,735,702,281
3512,735,702,281
3525,735,702,281
3536,735,702,281
3547,735,702,281
3558,735,702,281
3569,634,149,122
3581,634,149,122
3593,634,149,122
3604,634,149,122
3614,634,149,122
3627,634,149,122
3638,634,149,122
3649,634,149,122
3660,634,149,122
3671,634,149,122
3683,208,125,115
3694,208,125,115
3706,208,125,115
3718,208,125,115
3730,208,125,115
3741,208,125,115
3754,208,125,115
3765,208,125,115
3776,212,215,728
3787,212,215,728
3797,212,215,728
3810,212,215,728
3823,212,215,728
3834,410,732,491
3845,410,732,491
3856,410,732,491
3868,410,732,491
3881,410,732,491
3892,410,732,491
3903,410,732,491
3916,410,732,491
3927,410,732,491
3938,410,732,491
3949,410,732,491
3960,410,732,491
3971,410,732,491
3982,754,585,732
3992,754,585,732
4004,754,585,732
4014,754,585,732
4025,754,585,732
4037,754,585,732
4050,754,585,732
4062,754,585,732
4073,472,727,739
4085,472,727,739
4096,472,727,739
4107,472,727,739
4120,472,727,739
4131,775,735,237
4144,775,735,237
4156,775,735,237
4167,775,735,237
4179,775,735,237
4189,775,735,237
4200,775,735,237
4213,775,735,237
4223,747,322,562
4235,747,322,562
4247,747,322,562
4257,747,322,562
4269,747,322,562
4281,747,322,562
4292,747,322,562
4304,747,322,562
4316,346,439,746
4327,346,439,746
4340,346,439,746
4352,346,439,746
4364,346,439,746
4375,346,439,746
4387,346,439,746
4398,346,439,746
4411,491,751,648
4422,491,751,648
4434,491,751,648
4446,491,751,648
4457,491,751,648
4467,491,751,648
4480,491,751,648
4491,775,714,250
4502,775,714,250
4514,775,714,250
4524,775,714,250
4536,775,714,250
4548,775,714,250
4558,775,714,250
4570,775,714,250
4582,775,714,250
4593,775,714,250
4606,775,714,250
4616,717,289,691
4628,717,289,691
4640,717,289,691
4651,717,289,691
4662,717,289,691
4673,717,289,691
4684,717,289,691
4695,717,289,691
4708,717,289,691
4719,717,289,691
4730,309,664,776
4742,309,664,776
4753,309,664,776
4766,309,664,776
4779,309,664,776
4789,309,664,776
4801,555,766,781
4813,555,766,781
4824,555,766,781
4835,555,766,781
4847,555,766,781
4858,555,766,781
4871,555,766,781
4881,750,792,762
4893,750,792,762
4905,750,792,762
4916,750,792,762
4929,750,792,762
4940,750,792,762
4951,750,792,762
4963,750,792,762
4975,806,779,757
4987,806,779,757
4999,806,779,757
