robot_name,doughnut
time_ms,left,center,right
349,635,176,143
359,635,176,143
370,635,176,143
384,635,176,143
397,635,176,143
409,635,176,143
422,635,176,143
434,635,176,143
445,610,163,132
457,610,163,132
468,610,163,132
480,610,163,132
494,610,163,132
505,610,163,132
516,610,163,132
528,610,163,132
540,610,163,132
551,610,163,132
562,542,155,132
574,542,155,132
585,542,155,132
597,542,155,132
608,542,155,132
619,542,155,132
630,542,155,132
641,542,155,132
652,405,152,115
663,405,152,115
673,405,152,115
687,405,152,115
698,405,152,115
710,303,177,150
721,303,177,150
733,303,177,150
744,303,177,150
755,303,177,150
766,303,177,150
779,303,177,150
790,303,177,150
801,245,163,143
813,245,163,143
825,245,163,143
836,245,163,143
848,245,163,143
859,245,163,143
871,245,163,143
883,245,163,143
893,225,160,148
903,225,160,148
914,225,160,148
925,225,160,148
938,225,160,148
951,225,160,148
962,225,160,148
974,225,160,148
986,225,160,148
997,225,160,148
1008,231,168,188
1020,231,168,188
1031,231,168,188
1043,231,168,188
1055,231,168,188
1066,231,168,188
1076,231,168,188
1089,231,168,188
1100,230,182,559
1111,230,182,559
1122,230,182,559
1134,230,182,559
1144,230,182,559
1155,230,182,559
1167,230,182,559
1178,230,182,559
1189,236,198,744
1201,236,198,744
1212,236,198,744
1224,236,198,744
1234,236,198,744
1244,236,198,744
1256,236,198,744
1268,236,198,744
1278,245,220,751
1290,245,220,751
1302,245,220,751
1314,245,220,751
1326,245,220,751
1339,245,220,751
1351,245,220,751
1362,245,220,751
1373,271,647,737
1385,271,647,737
1397,271,647,737
1408,271,647,737
1419,271,647,737
1430,271,647,737
1443,271,647,737
1453,271,647,737
1465,309,763,720
1478,309,763,720
1489,309,763,720
1499,309,763,720
1510,309,763,720
1521,309,763,720
1532,309,763,720
1545,309,763,720
1555,309,763,720
1566,309,763,720
1578,637,752,344
1589,637,752,344
1601,637,752,344
1614,637,752,344
1625,637,752,344
1637,637,752,344
1649,637,752,344
1661,637,752,344
1672,796,721,491
1683,796,721,491
1695,796,721,491
1708,796,721,491
1718,796,721,491
1731,796,721,491
1742,796,721,491
1753,796,721,491
1765,732,203,643
1777,732,203,643
1789,732,203,643
1801,732,203,643
1814,732,203,643
1825,732,203,643
1836,732,203,643
1848,643,618,620
1860,643,618,620
1871,643,618,620
1883,643,618,620
1893,643,618,620
1906,643,618,620
1918,643,618,620
1929,643,618,620
1939,133,647,435
1950,133,647,435
1961,133,647,435
1973,133,647,435
1985,133,647,435
1996,133,647,435
2009,133,647,435
2020,133,647,435
2030,667,582,0
2043,667,582,0
2055,667,582,0
2066,667,582,0
2077,667,582,0
2088,667,582,0
