robot_name,cheesecake
time_ms,left,center,right
486,490,101,113
497,509,109,132
508,509,109,132
520,509,109,132
530,509,109,132
541,509,109,132
554,509,109,132
565,509,109,132
575,415,82,18
588,415,82,18
600,415,82,18
611,415,82,18
622,415,82,18
633,415,82,18
644,415,82,18
656,415,82,18
668,415,82,18
679,415,82,18
690,377,99,37
702,377,99,37
714,377,99,37
726,377,99,37
737,377,99,37
751,377,99,37
763,377,99,37
773,377,99,37
784,283,80,37
795,283,80,37
805,283,80,37
817,283,80,37
829,283,80,37
839,207,78,18
850,207,78,18
861,207,78,18
872,207,78,18
885,207,78,18
896,207,78,18
907,207,78,18
918,207,78,18
930,207,78,18
941,207,78,18
952,207,78,18
963,113,76,56
974,113,76,56
987,113,76,56
998,113,76,56
1009,113,76,56
1022,113,76,56
1033,113,76,56
1044,113,76,56
1055,113,97,113
1066,113,97,113
1078,113,97,113
1089,113,97,113
1100,113,97,113
1112,113,97,113
1122,113,97,113
1134,113,97,113
1144,150,92,132
1155,150,92,132
1166,150,92,132
1177,150,92,132
1188,150,92,132
1199,150,92,132
1211,150,92,132
1222,150,92,132
1234,37,57,56
1246,37,57,56
1257,37,57,56
1268,37,57,56
1281,37,57,56
1292,37,57,56
1305,37,57,56
1315,37,57,56
1325,75,45,132
1336,75,45,132
1349,75,45,132
1361,75,45,132
1372,75,45,132
1385,75,45,132
1396,75,45,132
1408,75,45,132
1419,94,59,528
1430,94,59,528
1441,94,59,528
1453,94,59,528
1466,94,59,528
1478,94,59,528
1488,94,59,528
1499,94,59,528
1512,56,28,811
1523,56,28,811
1535,56,28,811
1547,56,28,811
1558,56,28,811
1570,56,28,811
1583,56,28,811
1595,56,28,811
1606,56,28,811
1617,56,28,811
1628,56,28,811
1640,56,28,811
1651,283,216,905
1662,283,216,905
1673,283,216,905
1683,283,216,905
1696,283,216,905
1709,283,216,905
1720,792,692,1000
1730,792,692,1000
1741,792,692,1000
1753,792,692,1000
1766,792,692,1000
1780,792,692,1000
1791,792,692,1000
1804,792,692,1000
1814,792,692,1000
1824,792,692,1000
1837,792,692,1000
1847,792,692,1000
1859,792,692,1000
1871,792,692,1000
1881,792,692,1000
1893,1000,692,603
1905,1000,692,603
1916,1000,692,603
1928,1000,692,603
1941,1000,692,603
1953,1000,692,603
1965,1000,692,603
1978,1000,692,603
1989,981,555,962
2001,981,555,962
2012,981,555,962
2022,981,555,962
2035,981,555,962
2046,981,555,962
2057,981,555,962
2070,981,555,962
2080,924,464,1000
2093,924,464,1000
2105,924,464,1000
2116,924,464,1000
2127,924,464,1000
2140,924,464,1000
2151,924,464,1000
2162,924,464,1000
2175,924,464,1000
2186,924,464,1000
2198,1000,613,1000
2209,1000,613,1000
2220,1000,613,1000
2233,1000,613,1000
2243,1000,613,1000
2254,1000,613,1000
2267,1000,613,1000
2277,1000,613,1000
2288,1000,545,811
2301,1000,545,811
2312,1000,545,811
2324,1000,545,811
2336,1000,545,811
2347,1000,545,811
2360,1000,545,811
2371,1000,291,1000
2383,1000,291,1000
2395,1000,291,1000
2405,1000,291,1000
2416,1000,291,1000
2429,1000,291,1000
2440,1000,291,1000
2451,1000,291,1000
2463,1000,514,1000
2476,1000,514,1000
2487,1000,514,1000
2499,1000,514,1000
2510,1000,514,1000
2521,1000,514,1000
2533,1000,514,1000
2543,1000,514,1000
2555,1000,535,1000
2568,1000,535,1000
2578,1000,535,1000
2590,1000,535,1000
2603,1000,535,1000
2613,1000,535,1000
2626,1000,535,1000
2637,1000,535,1000
2648,1000,646,1000
2660,1000,646,1000
2672,1000,646,1000
2684,1000,646,1000
2696,1000,646,1000
2707,1000,646,1000
2719,1000,646,1000
2729,981,706,1000
2739,981,706,1000
2752,981,706,1000
2764,981,706,1000
2775,981,706,1000
2787,981,706,1000
2800,981,706,1000
2811,981,706,1000
2823,981,706,1000
2836,981,706,1000
2846,981,706,1000
2859,1000,667,1000
2871,1000,667,1000
2882,1000,667,1000
2895,1000,667,1000
2906,1000,667,1000
2917,1000,667,1000
2927,1000,667,1000
2939,1000,630,981
2949,1000,630,981
2962,1000,630,981
2974,1000,630,981
2985,1000,630,981
2997,1000,630,981
3008,1000,630,981
3018,1000,630,981
3030,1000,630,981
3042,1000,630,981
3053,1000,630,981
3064,1000,700,1000
3076,1000,700,1000
3088,1000,700,1000
3101,1000,700,1000
3112,1000,700,1000
3123,1000,654,867
3134,1000,654,867
3144,1000,654,867
3155,1000,654,867
3167,1000,654,867
3178,1000,654,867
3189,1000,654,867
3201,1000,654,867
3213,792,347,226
3224,792,347,226
3235,792,347,226
3246,792,347,226
