robot_name,doughnut
time_ms,left,center,right
359,228,132,165
370,228,132,165
382,228,132,165
393,228,132,165
404,228,132,165
415,228,132,165
426,228,132,165
438,228,132,165
448,222,125,149
458,222,125,149
468,222,125,149
478,222,125,149
489,222,125,149
500,222,125,149
511,222,125,149
522,222,125,149
533,222,125,149
545,227,127,149
556,227,127,149
567,227,127,149
580,227,127,149
590,227,127,149
602,227,127,149
614,227,127,149
625,227,127,149
635,255,157,187
646,255,157,187
656,255,157,187
667,255,157,187
678,255,157,187
689,255,157,187
700,255,157,187
712,255,157,187
723,279,173,200
733,279,173,200
745,279,173,200
755,279,173,200
766,279,173,200
777,279,173,200
789,279,173,200
801,279,173,200
812,288,184,203
825,288,184,203
836,288,184,203
848,288,184,203
859,288,184,203
871,288,184,203
884,288,184,203
896,288,184,203
907,291,190,195
919,291,190,195
930,291,190,195
942,291,190,195
955,291,190,195
965,291,190,195
978,291,190,195
990,291,190,195
1001,291,190,195
1014,291,190,195
1025,298,198,211
1037,298,198,211
1049,298,198,211
1060,298,198,211
1071,298,198,211
1084,298,198,211
1096,298,198,211
1106,298,198,211
1117,362,278,278
1127,362,278,278
1139,362,278,278
1149,362,278,278
1160,362,278,278
1173,362,278,278
1184,362,278,278
1195,362,278,278
1206,777,790,804
1217,777,790,804
1228,777,790,804
1239,777,790,804
1250,777,790,804
1261,777,790,804
1272,777,790,804
1283,777,790,804
1294,677,702,733
1306,677,702,733
1318,677,702,733
1329,677,702,733
1341,677,702,733
1353,677,702,733
1364,677,702,733
1377,677,702,733
1388,200,111,147
1399,200,111,147
1412,200,111,147
1423,200,111,147
1435,200,111,147
1447,200,111,147
1458,200,111,147
1469,154,40,96
1480,154,40,96
1491,154,40,96
1503,154,40,96
1515,154,40,96
1526,154,40,96
1539,154,40,96
1551,154,40,96
1562,154,40,96
1574,154,40,96
1585,154,40,96
1596,118,22,64
1609,118,22,64
1620,118,22,64
1631,118,22,64
1644,118,22,64
1655,118,22,64
1668,118,22,64
1681,118,29,36
1691,118,29,36
1701,118,29,36
1711,118,29,36
1721,118,29,36
1733,118,29,36
1745,118,29,36
1756,118,29,36
1767,148,64,99
1778,148,64,99
1789,148,64,99
1802,148,64,99
1814,148,64,99
1826,148,64,99
1836,148,64,99
1849,148,64,99
1859,202,81,99
1871,202,81,99
1882,202,81,99
1893,202,81,99
1904,202,81,99
1916,202,81,99
1927,202,81,99
1937,202,81,99
1948,786,765,761
1959,786,765,761
1970,786,765,761
1981,786,765,761
1991,786,765,761
2002,786,765,761
2014,786,765,761
2025,786,765,761
2037,248,151,173
2047,248,151,173
2059,248,151,173
2071,248,151,173
2083,248,151,173
2093,248,151,173
2104,248,151,173
2115,248,151,173
2127,248,151,173
2137,248,151,173
2149,248,151,173
2162,248,151,173
2172,248,151,173
2183,248,151,173
2194,184,86,97
2206,184,86,97
2216,184,86,97
2229,184,86,97
2239,184,86,97
2250,176,64,57
2261,176,64,57
2272,176,64,57
2283,176,64,57
2296,176,64,57
2306,176,64,57
2317,176,64,57
2329,176,64,57
2340,222,137,160
2351,222,137,160
2361,222,137,160
2371,222,137,160
2382,222,137,160
2392,222,137,160
2404,222,137,160
2415,222,137,160
2426,222,137,160
2436,191,94,115
2447,191,94,115
2459,191,94,115
2471,191,94,115
2482,191,94,115
2493,191,94,115
2504,191,94,115
2515,191,94,115
2526,160,62,84
2539,160,62,84
2551,160,62,84
2563,160,62,84
2575,160,62,84
2586,160,62,84
2597,160,62,84
2608,726,710,713
2619,726,710,713
2631,726,710,713
2642,726,710,713
2653,726,710,713
2665,726,710,713
2676,726,710,713
2688,726,710,713
2699,209,119,139
2710,209,119,139
2721,209,119,139
2734,209,119,139
2744,209,119,139
2756,209,119,139
2768,209,119,139
2779,209,119,139
2790,209,119,139
2802,209,119,139
2812,209,119,139
2824,194,97,119
2835,194,97,119
2846,194,97,119
2859,194,97,119
2872,194,97,119
2883,194,97,119
2894,194,97,119
2907,194,97,119
2917,200,118,140
2927,200,118,140
2938,200,118,140
2956,200,118,140
2968,200,118,140
2979,200,118,140
2991,200,118,140
3003,179,100,114
3015,179,100,114
3027,179,100,114
3037,179,100,114
3047,179,100,114
3057,179,100,114
3069,179,100,114
3080,179,100,114
3092,182,89,99
3103,182,89,99
3115,182,89,99
3126,182,89,99
3136,182,89,99
3148,182,89,99
3158,182,89,99
3170,182,89,99
3181,133,47,72
3191,133,47,72
3202,133,47,72
3213,133,47,72
3224,133,47,72
3234,133,47,72
3247,133,47,72
3259,133,47,72
3271,111,23,54
3281,111,23,54
3294,111,23,54
3305,111,23,54
3315,111,23,54
3327,111,23,54
3339,111,23,54
3350,111,23,54
3361,111,23,54
3371,111,23,54
3383,111,23,54
3394,123,42,82
3405,123,42,82
3416,123,42,82
3427,123,42,82
3437,123,42,82
3449,123,42,82
3461,123,42,82
3472,123,42,82
3484,123,42,82
3497,123,42,82
3508,123,42,82
3519,126,50,82
3532,126,50,82
3543,126,50,82
3556,126,50,82
3566,126,50,82
3578,154,70,100
3590,154,70,100
3602,154,70,100
3613,154,70,100
3624,154,70,100
3635,154,70,100
3646,154,70,100
3657,191,97,129
3668,191,97,129
3680,191,97,129
3693,191,97,129
3704,191,97,129
3716,191,97,129
3729,191,97,129
3739,191,97,129
3752,191,97,129
3762,191,97,129
3772,191,97,129
3784,191,97,129
3796,191,97,129
3807,191,97,129
3821,191,97,129
3831,191,97,129
3842,191,97,129
3854,191,97,129
3865,191,97,129
3876,191,97,129
3889,191,97,129
3899,279,200,221
3911,279,200,221
3923,279,200,221
3934,279,200,221
3946,279,200,221
3958,279,200,221
3969,279,200,221
3981,279,200,221
3992,208,125,160
4003,208,125,160
4014,208,125,160
4025,208,125,160
4035,208,125,160
4046,208,125,160
4057,208,125,160
4068,208,125,160
4079,213,130,163
4089,213,130,163
4100,213,130,163
4113,213,130,163
4125,213,130,163
4137,213,130,163
4147,213,130,163
4158,213,130,163
4170,210,129,163
4181,210,129,163
4192,210,129,163
4204,210,129,163
4214,210,129,163
4224,210,129,163
4236,210,129,163
4247,210,129,163
4258,219,137,168
4269,219,137,168
4281,219,137,168
4292,219,137,168
4304,219,137,168
4314,219,137,168
4324,219,137,168
4336,219,137,168
4347,213,133,162
4358,213,133,162
4369,213,133,162
4382,213,133,162
4392,213,133,162
4405,213,133,162
4417,213,133,162
4427,213,133,162
4438,213,133,162
4450,213,133,162
4461,213,133,162
4473,221,135,168
4484,221,135,168
4495,221,135,168
4507,221,135,168
4518,221,135,168
4529,221,135,168
4542,221,135,168
4555,221,135,168
4565,218,137,168
4577,218,137,168
4588,218,137,168
4600,218,137,168
4613,218,137,168
4624,218,137,168
4635,218,137,168
4647,215,133,167
4658,215,133,167
4671,215,133,167
4684,215,133,167
4696,215,133,167
4708,215,133,167
4721,215,133,167
4731,215,133,167
4743,213,133,165
4755,213,133,165
4766,213,133,165
4779,213,133,165
4796,213,133,165
4807,213,133,165
4820,213,133,165
4832,218,143,173
4843,218,143,173
4853,218,143,173
4864,218,143,173
4874,218,143,173
4888,218,143,173
4899,218,143,173
4912,218,143,173
4923,221,140,168
4933,221,140,168
4945,221,140,168
4957,221,140,168
4969,221,140,168
4981,221,140,168
4992,221,140,168
