robot_name,brownie
time_ms,left,center,right
351,0,22,114
364,0,22,114
376,0,22,114
386,0,22,114
397,0,22,114
409,0,22,114
422,0,22,114
433,0,22,114
443,0,34,130
453,0,34,130
463,0,34,130
481,0,34,130
493,0,34,130
505,0,34,130
517,0,34,130
528,18,59,143
539,18,59,143
551,18,59,143
562,18,59,143
572,18,59,143
585,18,59,143
596,18,59,143
608,18,59,143
618,36,68,145
629,36,68,145
640,36,68,145
651,36,68,145
662,36,68,145
673,36,68,145
684,36,68,145
696,36,68,145
707,36,68,145
718,36,67,136
728,36,67,136
740,36,67,136
752,36,67,136
763,36,67,136
774,36,67,136
785,36,67,136
795,36,67,136
806,36,67,136
817,36,67,136
827,36,67,136
839,71,84,161
852,71,84,161
863,71,84,161
875,71,84,161
886,71,84,161
897,52,84,168
909,52,84,168
921,52,84,168
932,52,84,168
945,52,84,168
958,52,84,168
969,52,84,168
979,52,84,168
991,52,84,168
1002,52,84,168
1014,93,126,204
1024,93,126,204
1036,93,126,204
1048,93,126,204
1060,93,126,204
1070,93,126,204
1083,93,126,204
1093,93,126,204
1103,727,712,702
1114,727,712,702
1124,727,712,702
1142,727,712,702
1153,727,712,702
1165,727,712,702
1177,727,712,702
1189,743,749,779
1201,743,749,779
1212,743,749,779
1223,743,749,779
1236,743,749,779
1247,743,749,779
1258,743,749,779
1270,743,749,779
1281,0,7,137
1292,0,7,137
1305,0,7,137
1316,0,7,137
1327,0,7,137
1339,0,7,137
1349,0,7,137
1361,0,7,137
1372,0,0,14
1382,0,0,14
1394,0,0,14
1405,0,0,14
1416,0,0,14
1427,0,0,14
1438,0,0,14
1451,0,0,14
1462,0,0,0
1473,0,0,0
1483,0,0,0
1494,0,0,0
1504,0,0,0
1517,0,0,0
1529,0,0,0
1539,0,0,0
1551,0,0,0
1561,0,0,0
1574,0,0,0
1585,0,0,0
1596,0,0,0
1609,0,0,0
1619,0,0,0
1631,0,0,0
1643,0,0,0
1654,0,0,0
1665,0,0,0
1676,0,0,0
1686,0,0,0
1697,0,0,0
1708,0,0,0
1719,0,0,0
1730,0,0,0
1741,0,0,0
1752,0,0,0
1763,0,0,28
1775,0,0,28
1786,0,0,28
1797,0,0,28
1810,0,0,28
1820,0,0,28
1832,0,0,28
1843,0,0,28
1853,0,0,51
1865,0,0,51
1877,0,0,51
1889,0,0,51
1901,0,0,51
1914,0,0,51
1924,0,0,51
1934,0,0,51
1945,710,731,756
1955,710,731,756
1967,710,731,756
1979,710,731,756
1990,710,731,756
2001,710,731,756
2011,710,731,756
2022,710,731,756
2034,0,19,109
2045,0,19,109
2056,0,19,109
2070,0,19,109
2081,0,19,109
2091,0,19,109
2104,0,19,109
2115,0,19,109
2126,0,19,109
2138,0,19,109
2148,0,0,46
2162,0,0,46
2175,0,0,46
2187,0,0,46
2197,0,0,46
2210,0,0,46
2221,0,0,46
2232,0,0,46
2244,0,21,125
2255,0,21,125
2267,0,21,125
2277,0,21,125
2288,0,21,125
2300,0,21,125
2310,0,21,125
2322,0,21,125
2332,0,0,84
2343,0,0,84
2355,0,0,84
2366,0,0,84
2377,0,0,84
2390,0,0,84
2402,0,0,84
2413,0,0,84
2425,0,0,17
2436,0,0,17
2447,0,0,17
2459,0,0,17
2471,0,0,17
2483,0,0,17
2495,0,0,17
2507,0,0,17
2519,501,411,335
2530,501,411,335
2541,501,411,335
