robot_name,tiramisu
time_ms,left,center,right
375,106,107,191
388,106,107,191
398,106,107,191
408,106,107,191
421,106,107,191
432,106,107,191
443,106,107,191
456,106,107,191
466,123,111,210
477,123,111,210
490,123,111,210
501,123,111,210
513,123,111,210
525,123,111,210
536,123,111,210
547,123,111,210
559,112,107,203
570,112,107,203
582,112,107,203
594,112,107,203
606,112,107,203
617,112,107,203
630,112,107,203
642,101,120,205
655,101,120,205
665,101,120,205
676,101,120,205
687,101,120,205
697,101,120,205
708,101,120,205
721,101,120,205
732,119,136,225
742,119,136,225
755,119,136,225
765,119,136,225
776,119,136,225
787,119,136,225
799,119,136,225
809,119,136,225
820,119,136,225
831,138,147,265
843,138,147,265
854,138,147,265
865,138,147,265
876,138,147,265
887,138,147,265
898,138,147,265
909,138,147,265
920,742,692,752
932,742,692,752
943,742,692,752
954,742,692,752
965,742,692,752
976,742,692,752
987,742,692,752
998,742,692,752
1008,742,692,752
1020,742,692,752
1032,742,692,752
1044,758,764,762
1056,758,764,762
1067,758,764,762
1080,758,764,762
1091,758,764,762
1103,758,764,762
1115,758,764,762
1125,406,563,547
1135,406,563,547
1149,406,563,547
1160,406,563,547
1171,406,563,547
1184,406,563,547
1195,406,563,547
1205,406,563,547
1217,0,28,143
1228,0,28,143
1240,0,28,143
1250,0,28,143
1261,0,28,143
1272,0,28,143
1283,0,28,143
1294,0,28,143
1305,0,0,77
1317,0,0,77
1328,0,0,77
1340,0,0,77
1352,0,0,77
1363,0,0,77
1375,0,0,77
1385,0,0,77
1396,0,0,33
1409,0,0,33
1421,0,0,33
1432,0,0,33
1444,0,0,33
1455,0,0,33
1466,0,0,33
1478,0,0,33
1488,0,0,85
1499,0,0,85
1511,0,0,85
1521,0,0,85
1533,0,0,85
1545,0,0,85
1555,0,0,85
1567,0,0,85
1578,0,0,85
1590,0,0,85
1601,0,0,95
1611,0,0,95
1622,0,0,95
1635,0,0,95
1647,0,0,95
1658,0,0,95
1669,0,0,95
1682,0,0,95
1692,0,19,132
1703,0,19,132
1714,0,19,132
1726,0,19,132
1739,0,19,132
1749,0,19,132
1760,0,19,132
1773,0,19,132
1783,62,35,131
1794,62,35,131
1807,62,35,131
1818,62,35,131
1829,62,35,131
1841,62,35,131
1853,62,35,131
1864,62,35,131
1875,745,732,782
1886,745,732,782
